"","store_name","borough","year","store_address","latitude","longitude","type"
"4651","VALERIO DELI GOURMET INC","Queens",2014,"14-02 CLINTONVILLE ST.",40.78922997,-73.8116007,"retail store"
"4652","GREAT KILLS TOMATO INC","Staten Island",2014,"4045 AMBOY ROAD",40.54958159,-74.15145192,"retail store"
"4653","BHAKTI II INC","Queens",2014,"41-11 UNION STREET",40.75896568,-73.82564801,"retail store"
"4654","NY RIVERSIDE GOURMET DELI INC","Manhattan",2014,"837 11TH AVE",40.77023238,-73.99170802,"retail store"
"4655","LOS 2 HERMANITOS DELI GROCERY CORP","Bronx",2014,"865 EAST 165TH STREET",40.82399278,-73.89906728,"retail store"
"4656","1584 DELI FOOD CORP","Bronx",2014,"1584 UNIVERSITY AE",40.84667446,-73.92047525,"retail store"
"4657","A&M FAMILY STORE CORP","Brooklyn",2014,"421 COLUMBIA STREET",40.67772727,-74.00607519,"retail store"
"4658","LIFE SAVERS DELI CORP","Bronx",2014,"302 WILLIS AVE",40.81043966,-73.9216908,"retail store"
"4659","SOL HANA INC","Queens",2014,"246-15 NORTHERN BLVD",40.77688219,-73.72775769,"retail store"
"4660","AAA PLUS DELI & GRILL INC","Queens",2014,"102-02 34TH AVE",40.75558317,-73.86608014,"retail store"
"4661","TWO K AND M INC","Manhattan",2014,"349 E 49TH ST",40.7537003,-73.96715776,"retail store"
"4662","AZURE GOURMET INC","Brooklyn",2014,"113 FRANKLIN ST UNIT B",40.73024844,-73.95780599,"retail store"
"4663","FAST STOP DELI & MINI MART CORP","Brooklyn",2014,"1667 FLATBUSH AVE",40.62977063,-73.94417701,"retail store"
"4664","SUNSET MINI MEAT MARKET CORP","Brooklyn",2014,"4116 5TH AVE",40.64984378,-74.00560689,"retail store"
"4665","RAMALES GRILL DELI CORP","Bronx",2014,"936 MORRIS AVENUE",40.82738217,-73.91728803,"retail store"
"4666","GO DELI EXPRESS GOURMET INC","Brooklyn",2014,"8311 FLATLANDS AVENUE",40.63727642,-73.91086641,"retail store"
"4667","SPEEDY MART GROCERY INC","Queens",2014,"7072 KISSENA BLVD",40.73002821,-73.81528144,"retail store"
"4668","FAMILY DOLLAR STORES OF NEW YORK LLC","Bronx",2014,"867 LONGWOOD AVE",40.81927172,-73.90084467,"retail store"
"4669","FAMILY DOLLAR STORES OF NEW YORK LLC","Brooklyn",2014,"12430 FLATLANDS AVE",40.65724332,-73.87537357,"retail store"
"4670","WALGREEN EASTERN CO INC","Manhattan",2014,"304 PARK AVE S",40.74004764,-73.98668265,"retail store"
"4671","WALGREEN EASTERN CO INC","Queens",2014,"15345 CROSS ISLAND PKWY",40.78823286,-73.8093665,"retail store"
"4672","944 HEGEMAN DELI GROCERY INC","Brooklyn",2014,"944 HEGEMAN AVENUE",40.6657598,-73.87783416,"retail store"
"4673","YZ CHICKEN & DELI INC","Brooklyn",2014,"378 RALPH AVE",40.67589796,-73.92206446,"retail store"
"4674","HOWARD NATURAL FOOD CORP","Brooklyn",2014,"8 HOWARD AVENUE",40.68848519,-73.92125728,"retail store"
"4675","SHADIN BANGLA GROCERY INC","Brooklyn",2014,"509 CORTELYOU ROAD",40.63854238,-73.97422882,"retail store"
"4676","HB DELI GROCERY CORP","Manhattan",2014,"3787A BROADWAY",40.83448969,-73.94490582,"retail store"
"4677","PHILIPPINE FAMOUS FOOD MART LLC","Queens",2014,"170-14 HILLSIDE AVE",40.7111196,-73.79145019,"retail store"
"4678","7 DAYS FOOD MART CORP","Staten Island",2014,"192 PORT RICHMOND AVE",40.63658591,-74.13454277,"retail store"
"4679","VITA COFFEE LLC","Brooklyn",2014,"576 JOHNSON AVE",40.7087966,-73.92521371,"retail store"
"4680","BEACH CHANNEL DELI & GROCERY CORP","Queens",2014,"1165 BEACH CHANNEL DR.",40.60527548,-73.75555175,"retail store"
"4681","P&M UTOPIA LLC","Queens",2014,"46-07 HOLLIS COURT BLVD",40.75311415,-73.79201873,"retail store"
"4682","SHOPLAND MINIMART CORP","Bronx",2014,"25 W TREMONT AVE",40.85202505,-73.91123865,"retail store"
"4683","367 FAMOUS DELI CORP","Brooklyn",2014,"753 MARCY AVE",40.68818173,-73.94762541,"retail store"
"4684","MERCADO GROCERY 1 CORP","Queens",2014,"12311 JAMAICA AVE",40.70082696,-73.82701142,"retail store"
"4685","PEACE AND LOVE DELI MARKET CORP","Bronx",2014,"950 LONGWOOD AVENUE",40.81750888,-73.89853378,"retail store"
"4686","7 ELEVEN INC","Manhattan",2014,"88 GREENWICH STREET",40.70779182,-74.01381554,"retail store"
"4687","BARRY GROCERY LLC","Bronx",2014,"1167 CASTLE HILL AVENUE",40.83144115,-73.85113034,"retail store"
"4688","CHRISTINE DELI GROCERY CORP","Bronx",2014,"1580 WATSON AVENUE",40.82627203,-73.87590197,"retail store"
"4689","BHAKTI 118 INC","Queens",2014,"118-19 QUEENS BLVD",40.71493923,-73.83144645,"retail store"
"4690","MINI MARKET FAMILIAR CORP","Brooklyn",2014,"1828 SCHENECTADY AVE",40.62774414,-73.9309165,"retail store"
"4691","90-47 DELI GROCERY CORP","Queens",2014,"90-47 149TH STREET",40.70218516,-73.80551946,"retail store"
"4692","EL CAMPITO FRUITS & DELI INC","Brooklyn",2014,"332 CRESENT STREET",40.68099822,-73.87151446,"retail store"
"4693","BAKU CORP","Brooklyn",2014,"937 CONEY ISLAND AVE",40.63460653,-73.96723931,"retail store"
"4694","BESA MEAT AND GROCERY INC","Bronx",2014,"2902 MIDDLETOWN ROAD",40.84342723,-73.83270751,"retail store"
"4695","JEFFERY DELI GROCERY INC","Bronx",2014,"2149 VALENTINE AVENUE",40.85422492,-73.89942754,"retail store"
"4696","SOCO PETRO LLC AMB #2","Bronx",2014,"3500 CONNER ST",40.88496513,-73.8263935,"retail store"
"4697","CASTELLANO BROTHERS MEATS INC","Staten Island",2014,"645 ROSSVILLE AVE STE101",40.54261434,-74.20816555,"retail store"
"4698","PUNJABI JUNCTION OF 87TH LLC","Manhattan",2014,"1665 1ST AVE",40.77747703,-73.94917137,"retail store"
"4699","LILY BLOOM 86 INC","Brooklyn",2014,"1476-1480 86TH STREET",40.61151539,-74.00999658,"retail store"
"4700","TONG XIN FOOD MARKET INC","Manhattan",2014,"94 HESTER ST",40.71636017,-73.99267562,"retail store"
"4701","OLMECA DELI GROCERY CORP","Brooklyn",2014,"3229 FULTON STREET",40.6826917,-73.87597472,"retail store"
"4702","IVORY & WHITE MARKETS INC","Manhattan",2014,"15 WEST END AVENUE",40.77222535,-73.99036582,"retail store"
"4703","MILL BASIN CONVENIENCE CORP","Brooklyn",2014,"6001 STRICKLAND AVE",40.61177351,-73.91306783,"retail store"
"4704","KN MARKET INC","Bronx",2014,"9 KNOLLS CRESENT",40.87886319,-73.91712408,"retail store"
"4705","DREAM GOURMET DELI INC","Bronx",2014,"111 EAST 161ST STREET",40.82746464,-73.92403268,"retail store"
"4706","1414 CASTLETON CORP","Staten Island",2014,"1414 CASTLETON AVE",40.633653,-74.12963877,"retail store"
"4707","8001 JAMAICA CORP","Queens",2014,"80-01 JAMAICA AVE",40.69222578,-73.86237064,"retail store"
"4708","IBERIE DELI GROCERY CORP","Bronx",2014,"785 EAST 163RD STREET",40.82279396,-73.90278994,"retail store"
"4709","Y & O FOOD CORP","Brooklyn",2014,"4702 CLARENDON RD",40.64411508,-73.93232651,"retail store"
"4710","AMMAR DELI AND GROCERY INC","Brooklyn",2014,"2972 AVE X",40.59386277,-73.93881192,"retail store"
"4711","LIAM DELI GROCERY NY CORP","Brooklyn",2014,"892 DEKALB AVE",40.69255071,-73.94025378,"retail store"
"4712","5265 FOOD MARKET LLC","Queens",2014,"52-65 65TH PLACE",40.73172844,-73.89996666,"retail store"
"4713","NY1 CORPORATION","Queens",2014,"60-31 METROPOLITAN AVE",40.71299321,-73.90397581,"retail store"
"4714","HANS KF CORP","Queens",2014,"148-35 JAMAICA AVENUE",40.70208143,-73.81045242,"retail store"
"4715","MON WIN FOOD MARKET INC","Manhattan",2014,"162 MOTT ST",40.71967589,-73.99612427,"retail store"
"4716","SILVER MOON DELI INC","Manhattan",2014,"3840 BROADWAY",40.8359758,-73.94314905,"retail store"
"4717","FRESH DELI AND GROCERY 1 CORP","Queens",2014,"62-74 FRESH POND RD",40.71195993,-73.9004078,"retail store"
"4718","BARAKAT HALA MARKET INC","Queens",2014,"7309 MAIN STREET",40.72448459,-73.82041452,"retail store"
"4719","H&M DELI GROCERY 1 CORP","Brooklyn",2014,"1199 HALSEY ST",40.69142242,-73.90979134,"retail store"
"4720","ALIANS DELI CORP","Bronx",2014,"217 BROOK AVENUE",40.80705312,-73.91979414,"retail store"
"4721","NAJIUM FOOD CORP","Brooklyn",2014,"127 ALBANY AVE",40.67638843,-73.93858745,"retail store"
"4722","RONG CHENG INC","Brooklyn",2014,"5822 8TH AVE FL 1",40.63628831,-74.00894892,"retail store"
"4723","GOLDEN STAR SUSHI INC","Brooklyn",2014,"242 BAYRIDGE AVE.",40.63599134,-74.02718979,"retail store"
"4724","MAA SUPERMARKET NYC INC","Brooklyn",2014,"80 CHURCH AVE 1ST FL",40.64233058,-73.98024551,"retail store"
"4725","KIPS BAY DELI GROCERY CORP","Manhattan",2014,"545 2ND AVE",40.74248627,-73.97778987,"retail store"
"4726","NEW CASTLE DELI AND GRILL CORP","Queens",2014,"39-50 QUEENS BLVD",40.74355241,-73.92452631,"retail store"
"4727","AMOAKOHENE PRINCE","Bronx",2014,"228 EAST 181ST ST",40.85429399,-73.90065331,"retail store"
"4728","FUSION PHARMACY CORP","Brooklyn",2014,"6801 18TH AVE",40.61723298,-73.99189829,"retail store"
"4729","TEJADA MEAT CORP","Bronx",2014,"649 JACKSON AVE",40.81559177,-73.9083774,"retail store"
"4730","18 LUCKY MARKET INC","Brooklyn",2014,"6802 18TH AVE",40.61738532,-73.99215377,"retail store"
"4731","JML&J FOOD CORP","Bronx",2014,"229 E.TREMONT AVE",40.84914503,-73.90464511,"retail store"
"4732","CITY LINE FRUIT STORE CORP","Bronx",2014,"4710 WHITE PLAINS ROAD",40.90381566,-73.84980701,"retail store"
"4733","KAPLEN MEDDEL","Brooklyn",2014,"2168 83RD ST.",40.60385852,-73.99267571,"retail store"
"4734","MEGALANE FOOD CORP","Queens",2014,"2910 BROADWAY",40.76249358,-73.9267631,"retail store"
"4735","LM4 INC","Brooklyn",2014,"650 FLATBUSH AVE",40.65747031,-73.96047244,"retail store"
"4736","TASTY BOWL INC","Staten Island",2014,"244 ARDEN AVE",40.5529173,-74.19378212,"retail store"
"4737","BROADWAY BIG APPLE DELI CORP","Brooklyn",2014,"1076 BROADWAY",40.69449259,-73.93111356,"retail store"
"4738","KEW GARDENS GOURMET DELI INC","Queens",2014,"12088 QUEENS BLVD",40.71276145,-73.82792798,"retail store"
"4739","M DELI GRILL SMOKESHOP INC","Brooklyn",2014,"1624 AVE M",40.61808919,-73.95831041,"retail store"
"4740","2020 HALAL FAST FOOD CORP","Bronx",2014,"736 B E. 233RD STREET",40.89279454,-73.85597986,"retail store"
"4741","514 MY DELI & GROCERY INC","Manhattan",2014,"514 HUDSON ST",40.73357036,-74.00614593,"retail store"
